BGC	Genus	Name	Compound_count	MW	TPSA	LOGP	HACC	HDON	Type	Activities	Structure	Antibacterial	Antifungal	Siderophore	Orf_length
BGC0001311	Ruminococcus	flavecins	1	-1	NA	NA	NA	NA	RiPP	Antibacterial	NA	1	1	0	0	20
BGC0001753	Streptomyces	radamycin	2	1105.27416032	379.51	3.13344	20	9	RiPP	NA	CC(C)C1NC(=O)C2=CSC(=N2)C2=C(N=C(C=C2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)C2=C(C)OC(=N2)C(=C)NC(=O)C(=C)NC(=O)C2=CSC(=N2)C(C)NC(=O)C2=CSC(=N2)C(C)NC(=O)C2=C(C)OC(CNC1=O)=N2	1	0	0	0	18
BGC0002030	Byssochlamys	viriditoxin	1	-1	NA	NA	NA	NA	Polyketide	NA	NA	2	0	0	0	14
BGC0001323	Solanum	monoterpenes-diterpenes	1	-1	NA	NA	NA	NA	Terpene	NA	NA	3	0	0	0	12
BGC0001454	Streptomyces	germicidin	1	196.109944372	50.44	2.4213	3	1	Other	NA	CCC(C)C1=CC(O)=C(CC)C(=O)O1	1	0	0	0	1
BGC0001656	Planktothrix	luminaolide	1	1538.99525342	341.04	8.481	24	6	Polyketide	NA	C[C@@H]1[C@H](C[C@H]2O[C@@H](C=CC2)C[C@H](C[C@@H](CC(=O)O[C@H](C[C@H](C[C@@H]([C@@H]([C@H](C[C@H]3O[C@@H](C=CC3)C[C@H](C[C@@H](CC(=O)O[C@H](C[C@H](C[C@@H]1O)O)[C@H]([C@H](OC)[C@H](CCC(=O)[C@H]([C@@H](OC)[C@@H](/C=C/N(C=O)C)C)C)C)C)O)OC)OC)C)O)O)[C@H]([C@H](OC)[C@H](CCC(=O)[C@H]([C@@H](OC)[C@@H](/C=C/N(C=O)C)C)C)C)C)O)OC)OC	0	0	0	0	30
BGC0000126	Streptomyces	pladienolide B	1	536.334918496	125.82	4.0211	8	3	Polyketide	NA	CCC(O)C(C)C1OC1CC(C)\C=C\C=C(/C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)\C=C\C1C	1	0	0	0	8
BGC0002002	Serratia	1,6-phenazinedimethanol	2	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	15
BGC0000706	Streptomyces	kanamycin	1	484.238057972	282.61	-7.2914	15	11	Saccharide	NA	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N	1	0	0	0	13
BGC0000804	Streptomyces	acarviostatin I03	4	969.353660376	479.47	-12.9161	29	20	Saccharide	NA	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@H]([C@@H]([C@H]5O)O)O)CO)CO)CO)CO)O)O)N[C@H]6C=C([C@H]([C@@H]([C@H]6O)O)O)CO	1	0	0	0	27
BGC0001338	Monascus	citrinin	1	250.084123548	83.83	1.721	4	2	Polyketide	Cytotoxic	C[C@@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@H]1C	2	0	0	0	16
BGC0001637	Klebsiella	kleboxymycin	1	-1	NA	NA	NA	NA	NRP	NA	NA	0	0	0	0	12
BGC0000098	Monascus	monacolin K	1	404.256274252	72.83	4.1955	5	1	Polyketide	NA	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@H](C)CC	2	0	0	0	9
BGC0001815	Streptomyces	uncialamycin	1	439.105587264	119.39	1.2443	7	4	Polyketide	NA	CC([C@]12[C@@H]3C#C/C=C\C#C[C@H]([C@@]1(O2)C4=CC(=C5C(=C4N3)C(=O)C6=CC=CC=C6C5=O)O)O)O	1	0	0	0	32
BGC0001223	uncultured	hydroxysporine	1	-1	NA	NA	NA	NA	Other	NA	NA	3	0	0	0	6
BGC0000623	Lactobacillus	plantaricin W α	2	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	3
BGC0001088	Xanthomonas	albicidin	1	842.254770656	285.74	5.71618	12	9	NRP	NA	C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC	0	0	0	0	20
BGC0001746	Streptomyces	pristinol	1	222.198365452	20.23	3.92	1	1	Terpene	NA	C[C@@H]1CC/C/2=C(/C[C@@H](CC(C[C@@H]12)(C)C)O)\C	1	0	0	0	1
BGC0001188	Streptomyces	legonaridin	1	-1	NA	NA	NA	NA	RiPP	NA	NA	1	0	0	0	12
BGC0000144	Streptomyces	salinomycin	1	750.49181306	161.21	6.188	10	4	Polyketide	anticoccidial	CC[C@H]([C@@H]1[C@H](C[C@H]([C@@]2(O1)C=C[C@H]([C@]3(O2)CC[C@@](O3)(C)[C@H]4CC[C@@]([C@@H](O4)C)(CC)O)O)C)C)C(=O)[C@@H](C)[C@H]([C@H](C)[C@H]5[C@H](CCC(O5)[C@@H](CC)C(=O)O)C)O	1	0	0	0	49
BGC0000151	Streptomyces	stambomycin A	4	1373.95266034	380.91	5.7787	22	16	Polyketide	Antibacterial,antiproliferative	O=C(OC(/C=C/C(O)CC(CCCC(C(C1O)C)O)O)C)CC2(O)OC(C[C@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]3O)C2C)C(C)C(O)/C(C)=C/C=C/CC(O)C(C)C(O)CCCC(O)CC(O)/C(C)=C/C(C(O)C(O)CCC(C)CC(O)CC(O)C(C)CC1)CCCC(CC)C	1	1	0	0	25
BGC0000220	Streptomyces	enterocin	1	444.10564684	163.73	-0.872	10	4	Polyketide	Antibacterial	[H][C@]12C[C@@]3(O)[C@@H](C4=CC(OC)=CC(=O)O4)[C@](O)([C@H](C(=O)C4=CC=CC=C4)[C@@]3(O)C(=O)O1)[C@@H]2O	1	1	0	0	20
BGC0000543	Staphylococcus	pep5	1	3587.78418768	1403.49	-12.36086	52	54	RiPP	NA	CC[C@H](C)[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@H](CS)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\C)/C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N/C(=C\C)/C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N/C(=C(\C)/S)/C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](C)NC(=O)C(=O)CC	1	0	0	0	6
BGC0001419	Hyalangium	myxochromide D	1	736.415962752	206.1	2.3527	8	5	NRP	NA	C1(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)O[C@H](C)[C@H](N(C)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CC)C(=O)N[C@@H]1C	0	0	0	0	20
BGC0001446	Aspergillus	asparasone A	1	358.068867408	152.36	1.2969	8	5	Polyketide	Antiinsectan	CC(=O)CC(O)C1=C(O)C2=C(C=C1O)C(=O)C1=C(C(O)=CC(O)=C1)C2=O	2	0	0	0	4
