TCDB	Type	Description
3.A.1.1	import	The Carbohydrate Uptake Transporter-1 (CUT1) Family
3.A.1.10	import	The Ferric Iron Uptake Transporter (FeT) Family
3.A.1.101	export	The Capsular Polysaccharide Exporter (CPSE) Family
3.A.1.102	export	The Lipooligosaccharide Exporter (LOSE) Family
3.A.1.103	export	The Lipopolysaccharide Exporter (LPSE) Family
3.A.1.104	export	The Teichoic Acid Exporter (TAE) Family
3.A.1.105	export	The Drug Exporter-1 (DrugE1) Family
3.A.1.106	export	The Lipid Exporter (LipidE) Family
3.A.1.107	export	The Putative Heme Exporter (HemeE) Family
3.A.1.108	export	The β-Glucan Exporter (GlucanE) Family
3.A.1.109	export	The Protein-1 Exporter (Prot1E) Family
3.A.1.11	import	The Polyamine/Opine/Phosphonate Uptake Transporter (POPT) Family
3.A.1.110	export	The Protein-2 Exporter (Prot2E) Family
3.A.1.111	export	The Peptide-1 Exporter (Pep1E) Family
3.A.1.112	export	The Peptide-2 Exporter (Pep2E) Family
3.A.1.113	export	The Peptide-3 Exporter (Pep3E) Family
3.A.1.114	export	The Probable Glycolipid Exporter (DevE) Family
3.A.1.115	export	The Na+ Exporter (NatE) Family
3.A.1.116	export	The Microcin B17 Exporter (McbE) Family
3.A.1.117	export	The Drug Exporter-2 (DrugE2) Family
3.A.1.118	export	The Microcin J25 Exporter (McjD) Family
3.A.1.119	export	The Drug/Siderophore Exporter-3 (DrugE3) Family
3.A.1.12	import	The Quaternary Amine Uptake Transporter (QAT) Family (Similar to 3.A.1.16 and 3.A.1.17)
3.A.1.120	unk	The (Putative) Drug Resistance ATPase-1 (Drug RA1) Family
3.A.1.121	unk	The (Putative) Drug Resistance ATPase-2 (Drug RA2) Family
3.A.1.122	export	The Macrolide Exporter (MacB) Family
3.A.1.123	export	The Peptide-4 Exporter (Pep4E) Family
3.A.1.124	export	The 3-component Peptide-5 Exporter (Pep5E) Family
3.A.1.125	unk	The Lipoprotein Translocase (LPT) Family
3.A.1.126	export	The β-Exotoxin I Exporter (βETE) Family
3.A.1.127	export	The AmfS Peptide Exporter (AmfS-E) Family
3.A.1.128	export	The SkfA Peptide Exporter (SkfA-E) Family
3.A.1.129	export	The CydDC Cysteine Exporter (CydDC-E) Family
3.A.1.13	import	The Vitamin B12 Uptake Transporter (B12T) Family (Similar to 3.A.1.14)
3.A.1.130	export	The Multidrug/Hemolysin Exporter (MHE) Family
3.A.1.131	export	The Bacitracin Resistance (Bcr) Family
3.A.1.132	unk	The Gliding Motility ABC Transporter (Gld) Family
3.A.1.133	export	The Peptide-6 Exporter (Pep6E) Family
3.A.1.134	export	The Peptide-7 Exporter (Pep7E) Family
3.A.1.135	export	The Drug Exporter-4 (DrugE4) Family
3.A.1.136	unk	The Uncharacterized ABC-3-type (U-ABC3-1) Family
3.A.1.137	unk	The Uncharacterized ABC-3-type (U-ABC3-2) Family
3.A.1.138	unk	The Unknown ABC-2-type (ABC2-1) Family
3.A.1.139	export	The UDP-Glucose/Iron Exporter (U-GlcE) Family (UPF0014 Family)
3.A.1.14	import	The Iron Chelate Uptake Transporter (FeCT) Family (Similar to 3.A.1.13 and 3.A.1.15)
3.A.1.140	unk	The FtsX/FtsE Septation (FtsX/FtsE) Family
3.A.1.141	export	The Ethyl Viologen Exporter (EVE) Family (DUF990 Family)
3.A.1.142	unk	The Glycolipid Flippase (G.L.Flippase) Family
3.A.1.15	import	The Manganese/Zinc/Iron Chelate Uptake Transporter (MZT) Family (Similar to 3.A.1.12, 3.A.1.14 and 3.A.1.16)
3.A.1.152	export	The lipopolysaccharide export (LptBFG) Family
3.A.1.153	unk	The Functionally Uncharacterized ABC-X (ABC-X) Family
3.A.1.16	import	The Nitrate/Nitrite/Cyanate Uptake Transporter (NitT) Family (Similar to 3.A.1.12 and 3.A.1.17)
3.A.1.17	import	The Taurine Uptake Transporter (TauT) Family (Similar to 3.A.1.12 and 3.A.1.16)
3.A.1.18	import	The Cobalamin Precursor/Cobalt (CPC) Family
3.A.1.19	import	The Thiamin Uptake Transporter (ThiT) Family (Most similar to 3.A.1.10, 3.A.1.6 and 3.A.1.8 in that order)
3.A.1.2	import	The Carbohydrate Uptake Transporter-2 (CUT2) Family
3.A.1.20	import	The Brachyspira Iron Transporter (BIT) Family (Most similar to 3.A.1.6, 3.A.1.8 and 3.A.1.11)
3.A.1.201	export	The Multidrug Resistance Exporter (MDR) Family (ABCB)
3.A.1.202	unk	The Cystic Fibrosis Transmembrane Conductance Exporter (CFTR) Family (ABCC)
3.A.1.203	unk	The Peroxysomal Fatty Acyl CoA Transporter (P-FAT) Family (ABCD)
3.A.1.204	unk	The Eye Pigment Precursor Transporter (EPP) Family (ABCG)
3.A.1.205	unk	The Pleiotropic Drug Resistance (PDR) Family (ABCG)
3.A.1.206	unk	The a-Factor Sex Pheromone Exporter (STE) Family (ABCB)
3.A.1.207	unk	The Eukaryotic ABC3 (E-ABC3) Family
3.A.1.208	unk	The Drug Conjugate Transporter (DCT) Family (ABCC) (Dębska et al., 2011)
3.A.1.209	unk	The MHC Peptide Transporter (TAP) Family (ABCB)
3.A.1.21	import	The Siderophore-Fe3+ Uptake Transporter (SIUT) Family
3.A.1.210	unk	The Heavy Metal Transporter (HMT) Family (ABCB)
3.A.1.211	unk	The Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
3.A.1.212	unk	The Mitochondrial Peptide Exporter (MPE) Family (ABCB)
3.A.1.22	import	The Nickel Uptake Transporter (NiT) Family
3.A.1.23	import	The Nickel/Cobalt Uptake Transporter (NiCoT) Family
3.A.1.24	import	The Methionine Uptake Transporter (MUT) Family (Similar to 3.A.1.3 and 3.A.1.12)
3.A.1.25	import	The Biotin Uptake Transporter (BioMNY) Family
3.A.1.26	import	The Putative Thiamine Uptake Transporter (ThiW) Family
3.A.1.27	import	The γ-Hexachlorocyclohexane (HCH) Family (Similar to 3.A.1.12 and 3.A.1.24)
3.A.1.28	import	The Queuosine (Queuosine) Family
3.A.1.29	import	The Methionine Precursor (Met-P) Family
3.A.1.3	import	The Polar Amino Acid Uptake Transporter (PAAT) Family
3.A.1.30	import	The Thiamin Precursor (Thi-P) Family
3.A.1.31	import	The Unknown-ABC1 (U-ABC1) Family
3.A.1.32	import	The Cobalamin Precursor (B12-P) Family
3.A.1.33	import	The Methylthioadenosine (MTA) Family
3.A.1.34	import	The Tryptophan (TrpXYZ) Family
3.A.1.4	import	The Hydrophobic Amino Acid Uptake Transporter (HAAT) Family
3.A.1.5	import	The Peptide/Opine/Nickel Uptake Transporter (PepT) Family
3.A.1.6	import	The Sulfate/Tungstate Uptake Transporter (SulT) Family
3.A.1.7	import	The Phosphate Uptake Transporter (PhoT) Family
3.A.1.8	import	The Molybdate Uptake Transporter (MolT) Family
3.A.1.9	import	The Phosphonate Uptake Transporter (PhnT) Family
2.A.1.1	unk	The Sugar Porter (SP) Family
2.A.1.10	porter	The Nucleoside: H+ Symporter (NHS) Family
2.A.1.11	porter	The Oxalate:Formate Antiporter (OFA) Family
2.A.1.12	porter	The Sialate:H+ Symporter (SHS) Family
2.A.1.13	porter	The Monocarboxylate Transporter (MCT) Family (Halestrap, 2011)
2.A.1.14	porter	The Anion:Cation Symporter (ACS) Family
2.A.1.15	porter	The Aromatic Acid:H+ Symporter (AAHS) Family
2.A.1.16	porter	The Siderophore-Iron Transporter (SIT) Family
2.A.1.17	porter	The Cyanate Porter (CP) Family
2.A.1.18	porter	The Polyol Porter (PP) Family
2.A.1.19	porter	The Organic Cation Transporter (OCT) Family (The SLC22A family including OCT1-3, OCTN1-3 and OAT1-5 of H. sapiens)
2.A.1.2	porter	The Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family
2.A.1.20	porter	The Sugar Efflux Transporter (SET) Family
2.A.1.21	porter	The Drug:H+ Antiporter-3 (12 Spanner) (DHA3) Family
2.A.1.22	porter	The Vesicular Neurotransmitter Transporter (VNT) Family (Related to the SP Family (TC #2.1.1))
2.A.1.23	porter	The Conjugated Bile Salt Transporter (BST) Family
2.A.1.24	porter	The Vacuolar Basic Amino Acid Transporter (VBAAT) Family
2.A.1.25	porter	The Peptide/Acetyl-Coenzyme A/Drug Transporter (PAT) Family
2.A.1.26	porter	The Drug:H+ Antiporter-4 (DHA4) Family Family
2.A.1.27	porter	The Phenyl Propionate Permease (PPP) Family
2.A.1.28	porter	The Feline Leukemia Virus Subgroup C Receptor (FLVCR)/Heme Importer Family
2.A.1.29	porter	The Potential Heme Import (HemeI) Family
2.A.1.3	porter	The Drug:H+ Antiporter-2 (14 Spanner) (DHA2) Family
2.A.1.30	porter	The Putative Abietane Diterpenoid Transporter (ADT) Family
