BGC	Genus	Name	Type	Functions	Structure	Gram	Antibacterial	Antifungal	Siderophore
BGC0001311	Ruminococcus	Flavecins	lantipeptide	Antibacterial	unk	1	1	0	0
BGC0001753	Streptomyces	radamycin	RiPP	unk	CC(C)C1NC(=O)C2=CSC(=N2)C2=C(N=C(C=C2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)C2=C(C)OC(=N2)C(=C)NC(=O)C(=C)NC(=O)C2=CSC(=N2)C(C)NC(=O)C2=CSC(=N2)C(C)NC(=O)C2=C(C)OC(CNC1=O)=N2	1	0	0	0
BGC0001323	Solanum	monoterpenes-diterpenes	Terpene	unk	unk	3	0	0	0
BGC0001454	Streptomyces	germicidin	Other	unk	unk	1	0	0	0
BGC0001656	Planktothrix	luminaolide	Polyketide	unk	C[C@@H]1[C@H](C[C@H]2O[C@@H](C=CC2)C[C@H](C[C@@H](CC(=O)O[C@H](C[C@H](C[C@@H]([C@@H]([C@H](C[C@H]3O[C@@H](C=CC3)C[C@H](C[C@@H](CC(=O)O[C@H](C[C@H](C[C@@H]1O)O)[C@H]([C@H](OC)[C@H](CCC(=O)[C@H]([C@@H](OC)[C@@H](/C=C/N(C=O)C)C)C)C)C)O)OC)OC)C)O)O)[C@H]([C@H](OC)[C@H](CCC(=O)[C@H]([C@@H](OC)[C@@H](/C=C/N(C=O)C)C)C)C)C)O)OC)OC	0	0	0	0
BGC0000126	Streptomyces	pladienolide	Polyketide	unk	unk	1	0	0	0
BGC0000706	Streptomyces	kanamycin	Saccharide	unk	unk	1	0	0	0
BGC0000804	Streptomyces	acarviostatin	Saccharide	unk	unk	1	0	0	0
BGC0001338	Monascus	Citrinin	Polyketide	Cytotoxic	unk	2	0	0	0
BGC0001637	Klebsiella	kleboxymycin	NRP	unk	unk	0	0	0	0
BGC0000098	Monascus	monacolin K	Polyketide	unk	unk	2	0	0	0
BGC0001815	Streptomyces	uncialamycin	Polyketide	unk	CC([C@]12[C@@H]3C#C/C=C\C#C[C@H]([C@@]1(O2)C4=CC(=C5C(=C4N3)C(=O)C6=CC=CC=C6C5=O)O)O)O	1	0	0	0
